split,image,pair_idx,panel_box,balloon_box,IoU,containment(panel->balloon),containment(balloon->panel)
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,12,"[862.6,962.1,1401.6,1198.9]","[1158.4,963.2,1402.6,1070.5]",0.204,0.996,0.205
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,13,"[303.7,1218.9,850.0,1443.2]","[303.7,1216.8,590.0,1307.4]",0.206,0.977,0.207
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,14,"[303.7,1218.9,850.0,1443.2]","[745.8,1353.7,848.9,1443.2]",0.075,1.000,0.075
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,15,"[865.7,1215.7,1398.4,1443.2]","[1058.4,1297.9,1398.4,1444.2]",0.406,0.993,0.408
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0026.png,0,"[305.8,771.6,992.1,1010.5]","[398.4,771.6,621.6,904.2]",0.180,1.000,0.180
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0026.png,1,"[305.8,771.6,992.1,1010.5]","[677.4,771.6,907.9,902.1]",0.183,1.000,0.183
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0026.png,2,"[1011.1,769.5,1398.4,1013.7]","[1011.1,911.6,1247.9,1014.7]",0.255,0.990,0.256
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0026.png,3,"[1011.1,769.5,1398.4,1013.7]","[1250.0,903.2,1397.4,1013.7]",0.172,1.000,0.172
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0026.png,4,"[307.9,1252.6,663.7,1453.7]","[305.8,1245.3,413.2,1337.9]",0.124,0.902,0.125
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0026.png,5,"[1058.3,1250.9,1395.4,1445.4]","[1218.4,1248.4,1395.3,1305.3]",0.146,0.956,0.147
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0026.png,6,"[201.6,1446.3,1497.4,1912.6]","[956.3,1463.2,1278.4,1589.5]",0.067,1.000,0.067
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0027.png,0,"[919.0,301.0,1400.0,747.0]","[931.0,301.0,1167.0,500.0]",0.219,1.000,0.219
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0027.png,1,"[304.6,762.0,1397.0,1247.0]","[1094.0,1116.0,1339.0,1248.0]",0.061,0.992,0.061
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0027.png,2,"[302.8,1262.0,1394.0,1422.0]","[911.0,1262.0,1318.0,1334.0]",0.168,0.999,0.168
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0027.png,3,"[302.8,1262.0,1394.0,1422.0]","[1200.0,1320.0,1396.0,1424.0]",0.113,0.971,0.113
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0027.png,4,"[302.8,1439.8,654.0,1807.0]","[302.0,1440.0,653.0,1563.0]",0.334,0.998,0.334
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0027.png,5,"[670.0,1440.0,1020.0,1806.0]","[675.0,1439.0,954.0,1549.0]",0.237,0.991,0.237
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0027.png,6,"[1032.4,1441.7,1393.0,1805.0]","[1246.0,1558.0,1394.0,1725.0]",0.187,0.993,0.187
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0029.png,0,"[677.0,297.0,1034.0,553.0]","[789.0,440.0,1034.0,554.0]",0.302,0.991,0.303
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0029.png,1,"[1050.0,299.0,1401.0,555.0]","[1050.0,298.0,1401.0,379.0]",0.311,0.988,0.313
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0029.png,2,"[306.0,572.0,657.0,832.0]","[337.0,572.0,517.0,654.0]",0.162,1.000,0.162
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0029.png,3,"[674.0,572.0,1031.0,833.0]","[673.0,571.0,946.0,634.0]",0.180,0.981,0.181
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0029.png,4,"[1047.0,572.0,1400.0,830.0]","[1079.0,567.0,1324.0,634.0]",0.165,0.925,0.167
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0029.png,5,"[304.0,848.0,1399.0,1073.0]","[1087.0,856.0,1236.0,947.0]",0.055,1.000,0.055
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0029.png,6,"[299.0,1353.0,655.0,1808.0]","[298.0,1352.0,511.0,1531.0]",0.232,0.990,0.233
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0029.png,7,"[299.0,1353.0,655.0,1808.0]","[431.0,1404.0,655.0,1605.0]",0.278,1.000,0.278
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0029.png,8,"[670.0,1354.0,1022.0,1808.0]","[812.0,1354.0,999.0,1578.0]",0.262,1.000,0.262
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0029.png,9,"[1036.0,1354.0,1394.0,1809.0]","[1091.0,1354.0,1355.0,1569.0]",0.348,1.000,0.348
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p010.png,0,"[234.0,252.0,2750.0,1544.0]","[354.0,250.0,1210.0,996.0]",0.196,0.997,0.196
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p010.png,1,"[234.0,252.0,2750.0,1544.0]","[1108.0,700.0,2282.0,1170.0]",0.170,1.000,0.170
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p010.png,2,"[236.0,1616.0,2744.0,2374.0]","[1850.0,2002.0,2616.0,2300.0]",0.120,1.000,0.120
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p010.png,3,"[236.0,2434.0,942.0,3712.0]","[576.0,3204.0,940.0,3586.0]",0.154,1.000,0.154
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p010.png,4,"[982.0,2438.0,1838.0,3716.0]","[980.0,2448.0,1410.0,2950.0]",0.196,0.995,0.196
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p010.png,5,"[982.0,2438.0,1838.0,3716.0]","[1400.0,2438.0,1776.0,2920.0]",0.166,1.000,0.166
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p010.png,6,"[982.0,2438.0,1838.0,3716.0]","[1460.0,2626.0,1840.0,3052.0]",0.147,0.995,0.147
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p010.png,7,"[1886.0,2436.0,2748.0,3718.0]","[1886.0,2432.0,2300.0,3070.0]",0.237,0.994,0.238
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p010.png,8,"[1886.0,2436.0,2748.0,3718.0]","[2316.0,2436.0,2748.0,2890.0]",0.177,1.000,0.177
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p011.png,0,"[248.3,253.3,1798.3,1598.3]","[1070.0,251.7,1776.7,1246.7]",0.337,0.998,0.337
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p011.png,1,"[2200.0,2430.0,2761.7,3721.7]","[2218.3,2423.3,2760.0,2695.0]",0.197,0.975,0.198
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p012.png,0,"[242.5,254.8,2741.3,1186.0]","[823.7,254.8,1341.2,564.8]",0.069,1.000,0.069
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p012.png,1,"[243.1,1249.4,2742.5,2093.5]","[396.3,1251.0,1252.5,1608.5]",0.145,1.000,0.145
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p012.png,2,"[243.1,2142.6,1319.0,3728.8]","[362.5,2144.8,1082.5,2532.3]",0.163,1.000,0.163
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p012.png,3,"[1360.0,2982.2,2746.2,3727.2]","[1548.7,2983.5,1928.7,3263.5]",0.103,1.000,0.103
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p013.png,0,"[255.0,253.5,1413.8,1409.8]","[487.5,253.5,1036.2,782.2]",0.217,1.000,0.217
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p013.png,1,"[255.0,253.5,1413.8,1409.8]","[1010.0,467.2,1375.0,919.7]",0.123,1.000,0.123
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p013.png,2,"[1456.2,257.3,2756.2,1409.8]","[1505.0,294.8,2012.5,717.3]",0.143,1.000,0.143
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p013.png,3,"[1456.2,257.3,2756.2,1409.8]","[2096.2,359.7,2738.7,673.5]",0.135,1.000,0.135
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p013.png,4,"[256.2,1456.0,2756.2,2166.0]","[1716.2,1498.5,2391.2,1901.0]",0.153,1.000,0.153
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p013.png,5,"[256.3,2217.3,2757.5,3721.0]","[1123.8,2217.2,1983.8,2952.2]",0.168,1.000,0.168
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p014.png,0,"[253.3,1690.0,1088.3,2773.3]","[251.7,1688.3,750.0,2120.0]",0.236,0.993,0.236
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p014.png,1,"[2256.7,1690.0,2736.7,2776.7]","[2340.0,1688.3,2740.0,2056.7]",0.278,0.987,0.279
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p014.png,2,"[253.3,2828.3,2735.0,3725.0]","[251.7,2828.3,956.7,3180.0]",0.111,0.998,0.111
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p014.png,3,"[253.3,2828.3,2735.0,3725.0]","[1438.3,2830.0,2245.0,3143.3]",0.114,1.000,0.114
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p014.png,4,"[253.3,2828.3,2735.0,3725.0]","[2276.7,2903.3,2600.0,3385.0]",0.070,1.000,0.070
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p015.png,0,"[255.0,255.0,1210.0,1378.3]","[320.0,253.3,858.3,656.7]",0.201,0.996,0.202
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p015.png,1,"[1245.0,255.0,1973.3,1380.0]","[1243.3,255.0,1973.3,573.3]",0.283,0.998,0.283
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p015.png,2,"[2015.0,258.3,2760.0,1375.0]","[2266.7,261.7,2516.7,536.7]",0.083,1.000,0.083
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p015.png,3,"[256.7,1431.7,2756.7,2420.0]","[308.3,1430.0,1116.7,1756.7]",0.106,0.995,0.106
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p015.png,4,"[256.7,2471.7,888.3,3721.7]","[261.7,2471.7,783.3,2903.3]",0.285,1.000,0.285
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p015.png,5,"[923.3,2473.3,1515.0,3721.7]","[920.0,2470.0,1660.0,2960.0]",0.354,0.794,0.390
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p015.png,6,"[1560.0,2471.7,2756.7,3720.0]","[1600.0,2663.3,1906.7,3041.7]",0.078,1.000,0.078
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p015.png,7,"[1560.0,2471.7,2756.7,3720.0]","[2098.3,2473.3,2648.3,2845.0]",0.137,1.000,0.137
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p016.png,0,"[1196.7,255.0,2746.7,1953.3]","[1235.0,255.0,2021.7,833.3]",0.173,1.000,0.173
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p016.png,1,"[1196.7,255.0,2746.7,1953.3]","[2263.3,548.3,2731.7,1313.3]",0.136,1.000,0.136
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p016.png,2,"[240.0,1991.7,1360.0,2986.7]","[240.0,1991.7,741.7,2383.3]",0.176,1.000,0.176
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p016.png,3,"[240.0,1991.7,1360.0,2986.7]","[741.7,1995.0,1360.0,2468.3]",0.263,1.000,0.263
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p016.png,4,"[1401.7,1993.3,2745.0,2986.7]","[1665.0,1993.3,2476.7,2305.0]",0.190,1.000,0.190
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p016.png,5,"[245.0,3030.0,2745.0,3718.3]","[455.0,3028.3,1078.3,3336.7]",0.111,0.995,0.111
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p017.png,0,"[229.3,170.1,2887.9,2021.9]","[2015.0,701.7,2588.3,1176.7]",0.055,1.000,0.055
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p017.png,1,"[236.7,2060.0,2775.0,2720.0]","[1166.7,2061.7,1968.3,2431.7]",0.177,1.000,0.177
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p017.png,2,"[236.7,2060.0,2775.0,2720.0]","[2271.7,2058.3,2621.7,2205.0]",0.030,0.989,0.030
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p017.png,3,"[238.3,2758.3,1096.7,3723.3]","[235.0,2755.0,626.7,3156.7]",0.186,0.983,0.187
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p017.png,4,"[1125.0,2755.0,1910.0,3720.0]","[1121.7,2751.7,1505.0,3161.7]",0.203,0.983,0.204
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p017.png,5,"[1948.3,2758.3,2773.3,3720.0]","[2140.0,2755.0,2771.7,3125.0]",0.291,0.991,0.292
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p018.png,0,"[250.0,259.8,1775.0,1391.7]","[285.0,261.7,1008.3,650.0]",0.163,1.000,0.163
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p018.png,1,"[250.0,259.8,1775.0,1391.7]","[1188.3,258.3,1743.3,591.7]",0.107,0.996,0.107
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p018.png,2,"[1812.1,263.2,2740.0,1388.3]","[1810.0,263.3,2310.0,718.3]",0.217,0.996,0.217
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p018.png,3,"[243.1,1442.6,1023.3,2590.0]","[240.0,1443.3,623.3,1956.7]",0.218,0.992,0.218
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p018.png,4,"[243.1,1442.6,1023.3,2590.0]","[623.3,1438.3,1025.0,1826.7]",0.171,0.985,0.172
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p018.png,5,"[1067.2,1442.5,1922.4,2601.2]","[1086.7,1441.7,1430.0,1821.7]",0.131,0.998,0.131
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p018.png,6,"[1067.2,1442.5,1922.4,2601.2]","[1463.3,1441.7,1923.3,2151.7]",0.328,0.997,0.329
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p018.png,7,"[1950.0,1441.7,2740.0,2596.7]","[2143.3,2006.7,2725.0,2585.0]",0.369,1.000,0.369
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p018.png,8,"[1156.9,2642.6,2736.2,3718.4]","[1923.3,2685.0,2378.3,3411.7]",0.195,1.000,0.195
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p019.png,0,"[258.3,1270.0,1111.7,2658.3]","[481.7,1268.3,1111.7,1606.7]",0.179,0.995,0.179
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p019.png,1,"[1148.3,1268.3,1890.0,2660.0]","[1216.7,1266.7,1886.7,1623.3]",0.230,0.995,0.230
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p019.png,2,"[1925.0,1270.0,2758.3,2661.7]","[2006.7,1266.7,2680.0,1851.7]",0.337,0.994,0.338
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p019.png,3,"[1925.0,1270.0,2758.3,2661.7]","[2520.0,1518.3,2760.0,1801.7]",0.058,0.993,0.058
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p019.png,4,"[256.7,2703.3,1185.0,3718.3]","[256.7,2703.3,841.7,3103.3]",0.248,1.000,0.248
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p019.png,5,"[256.7,2703.3,1185.0,3718.3]","[846.7,2736.7,1163.3,3078.3]",0.115,1.000,0.115
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p019.png,6,"[1218.3,2705.0,2756.7,3716.7]","[1215.0,2703.3,1886.7,3216.7]",0.219,0.992,0.220
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p019.png,7,"[1218.3,2705.0,2756.7,3716.7]","[1221.7,3256.7,1860.0,3623.3]",0.150,1.000,0.150
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p020.png,0,"[241.7,256.7,2748.3,1036.7]","[2045.0,255.0,2751.7,978.3]",0.259,0.993,0.260
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p020.png,1,"[1258.3,1078.3,2745.0,2405.0]","[1528.3,1081.7,2213.3,1498.3]",0.145,1.000,0.145
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p020.png,2,"[1258.3,1078.3,2745.0,2405.0]","[2113.3,1195.0,2696.7,1615.0]",0.124,1.000,0.124
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p020.png,3,"[241.7,2453.3,1005.0,3723.3]","[241.7,2496.7,960.0,3063.3]",0.420,1.000,0.420
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p021.png,0,"[258.3,255.0,2755.0,1145.0]","[1225.0,255.0,1885.0,626.7]",0.110,1.000,0.110
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p021.png,1,"[261.7,1201.7,2760.0,1755.0]","[458.3,1205.0,903.3,1600.0]",0.127,1.000,0.127
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p021.png,2,"[261.7,1201.7,2760.0,1755.0]","[2018.3,1198.3,2560.0,1418.3]",0.085,0.985,0.085
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p021.png,3,"[253.3,1806.7,1080.0,2850.0]","[253.3,1805.0,575.0,2216.7]",0.153,0.996,0.153
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p021.png,4,"[253.3,1806.7,1080.0,2850.0]","[575.0,1805.0,1080.0,2166.7]",0.211,0.995,0.211
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p021.png,5,"[1126.7,1805.0,1936.7,2850.0]","[1125.0,1801.7,1598.3,2215.0]",0.228,0.988,0.228
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p021.png,6,"[1126.7,1805.0,1936.7,2850.0]","[1526.7,1900.0,1876.7,2161.7]",0.108,1.000,0.108
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p021.png,7,"[1973.3,1805.0,2755.0,2851.7]","[1971.7,1806.7,2665.0,2115.0]",0.261,0.998,0.261
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p023.png,0,"[245.0,253.3,1538.3,980.0]","[1136.7,256.7,1541.7,535.0]",0.119,0.992,0.119
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p023.png,1,"[1573.3,253.3,2770.0,980.0]","[1573.3,683.3,2166.7,981.7]",0.202,0.994,0.202
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p023.png,2,"[240.0,1023.3,2770.0,2043.3]","[238.3,1023.3,1060.0,1466.7]",0.141,0.998,0.141
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p023.png,3,"[240.0,1023.3,2770.0,2043.3]","[1410.0,1020.0,1890.0,1326.7]",0.056,0.989,0.056
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p023.png,4,"[241.7,2088.3,1125.0,2875.0]","[243.3,2088.3,833.3,2478.3]",0.331,1.000,0.331
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p023.png,5,"[241.7,2088.3,1125.0,2875.0]","[665.0,2510.0,1121.7,2880.0]",0.239,0.986,0.240
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p023.png,6,"[1153.3,2093.3,1938.3,2873.3]","[1491.7,2091.7,1940.0,2373.3]",0.204,0.990,0.204
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p023.png,7,"[1970.0,2090.0,2770.0,2875.0]","[2258.3,2090.0,2771.7,2390.0]",0.244,0.997,0.244
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p023.png,8,"[241.7,2915.0,2770.0,3721.7]","[1093.3,2913.3,1500.0,3330.0]",0.083,0.996,0.083
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p024.png,0,"[230.0,256.0,1248.0,2060.0]","[226.0,256.0,1234.0,1062.0]",0.440,0.996,0.441
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p024.png,1,"[1284.0,258.0,1936.0,2064.0]","[1318.0,348.0,1718.0,1020.0]",0.228,1.000,0.228
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p024.png,2,"[1284.0,258.0,1936.0,2064.0]","[1540.0,666.0,1876.0,1104.0]",0.125,1.000,0.125
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p024.png,3,"[1968.0,262.0,2758.0,2062.0]","[1968.0,800.0,2396.0,1490.0]",0.208,1.000,0.208
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p024.png,4,"[1122.0,2102.0,1998.0,3722.0]","[1222.0,2100.0,1834.0,2536.0]",0.187,0.995,0.187
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p024.png,5,"[2034.0,2102.0,2756.0,3722.0]","[2264.0,2316.0,2678.0,2778.0]",0.164,1.000,0.164
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p025.png,0,"[239.7,252.9,2777.6,1808.1]","[450.0,1196.7,1100.0,1615.0]",0.069,1.000,0.069
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p025.png,1,"[236.2,1859.8,1266.7,3720.0]","[390.0,2070.0,953.3,2643.3]",0.168,1.000,0.168
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p025.png,2,"[1301.7,1859.8,2773.3,2706.7]","[1846.7,1883.3,2433.3,2388.3]",0.238,1.000,0.238
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p025.png,3,"[1300.0,2746.7,2061.7,3723.3]","[1301.7,2741.7,1911.7,3235.0]",0.399,0.990,0.400
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p025.png,4,"[1300.0,2746.7,2061.7,3723.3]","[1450.0,3026.7,1758.3,3355.0]",0.136,1.000,0.136
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p025.png,5,"[2094.8,2749.4,2775.0,3721.7]","[2143.3,2750.0,2763.3,3201.7]",0.423,1.000,0.423
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p026.png,0,"[237.8,253.3,1197.8,2762.2]","[340.0,1304.4,648.9,1711.1]",0.052,1.000,0.052
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p026.png,1,"[1237.8,257.8,2033.3,2057.8]","[1235.6,1062.2,1800.0,1597.8]",0.210,0.996,0.210
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p026.png,2,"[2068.9,251.1,2751.1,2053.3]","[2091.1,566.7,2497.8,1066.7]",0.165,1.000,0.165
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p026.png,3,"[2068.9,251.1,2751.1,2053.3]","[2253.3,897.8,2748.9,1320.0]",0.170,1.000,0.170
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p026.png,4,"[1233.3,2095.6,2748.9,2764.4]","[1635.6,2097.8,1942.2,2404.4]",0.093,1.000,0.093
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/sisters_p026.png,5,"[235.6,2811.1,2753.3,3722.2]","[1566.7,2806.7,1975.6,3235.6]",0.076,0.990,0.076
